time	yield_dtBHt/dt	burn_av_Ti
6.27E-15	0.00E+00	0.00E+00
2.21E-14	0.00E+00	0.00E+00
5.90E-14	0.00E+00	0.00E+00
1.38E-13	0.00E+00	0.00E+00
3.07E-13	0.00E+00	0.00E+00
6.65E-13	0.00E+00	0.00E+00
1.42E-12	0.00E+00	0.00E+00
3.01E-12	0.00E+00	0.00E+00
5.11E-12	0.00E+00	0.00E+00
7.22E-12	0.00E+00	0.00E+00
9.33E-12	0.00E+00	0.00E+00
1.14E-11	0.00E+00	0.00E+00
1.35E-11	0.00E+00	0.00E+00
1.57E-11	0.00E+00	0.00E+00
1.78E-11	0.00E+00	0.00E+00
1.99E-11	0.00E+00	0.00E+00
2.20E-11	0.00E+00	0.00E+00
2.41E-11	0.00E+00	0.00E+00
2.62E-11	0.00E+00	0.00E+00
2.83E-11	0.00E+00	0.00E+00
3.04E-11	0.00E+00	0.00E+00
3.25E-11	0.00E+00	0.00E+00
3.46E-11	0.00E+00	0.00E+00
3.67E-11	0.00E+00	0.00E+00
3.88E-11	0.00E+00	0.00E+00
4.10E-11	0.00E+00	0.00E+00
4.31E-11	0.00E+00	0.00E+00
4.52E-11	0.00E+00	0.00E+00
4.73E-11	0.00E+00	0.00E+00
4.94E-11	0.00E+00	0.00E+00
5.15E-11	0.00E+00	0.00E+00
5.36E-11	0.00E+00	0.00E+00
5.57E-11	0.00E+00	0.00E+00
5.78E-11	0.00E+00	0.00E+00
5.99E-11	0.00E+00	0.00E+00
6.20E-11	0.00E+00	0.00E+00
6.41E-11	0.00E+00	0.00E+00
6.63E-11	0.00E+00	0.00E+00
6.84E-11	0.00E+00	0.00E+00
7.05E-11	0.00E+00	0.00E+00
7.26E-11	0.00E+00	0.00E+00
7.47E-11	0.00E+00	0.00E+00
7.68E-11	0.00E+00	0.00E+00
7.89E-11	0.00E+00	0.00E+00
8.10E-11	0.00E+00	0.00E+00
8.31E-11	0.00E+00	0.00E+00
8.52E-11	0.00E+00	0.00E+00
8.73E-11	0.00E+00	0.00E+00
8.94E-11	0.00E+00	0.00E+00
9.15E-11	0.00E+00	0.00E+00
9.37E-11	0.00E+00	0.00E+00
9.58E-11	0.00E+00	0.00E+00
9.79E-11	0.00E+00	0.00E+00
1.00E-10	0.00E+00	0.00E+00
1.02E-10	0.00E+00	0.00E+00
1.04E-10	0.00E+00	0.00E+00
1.06E-10	0.00E+00	0.00E+00
1.08E-10	0.00E+00	0.00E+00
1.11E-10	0.00E+00	0.00E+00
1.13E-10	0.00E+00	0.00E+00
1.15E-10	0.00E+00	0.00E+00
1.17E-10	0.00E+00	0.00E+00
1.19E-10	0.00E+00	0.00E+00
1.21E-10	0.00E+00	0.00E+00
1.23E-10	0.00E+00	0.00E+00
1.25E-10	0.00E+00	0.00E+00
1.27E-10	0.00E+00	0.00E+00
1.29E-10	0.00E+00	0.00E+00
1.32E-10	0.00E+00	0.00E+00
1.34E-10	0.00E+00	0.00E+00
1.36E-10	0.00E+00	0.00E+00
1.38E-10	0.00E+00	0.00E+00
1.40E-10	0.00E+00	0.00E+00
1.42E-10	0.00E+00	0.00E+00
1.44E-10	0.00E+00	0.00E+00
1.46E-10	0.00E+00	0.00E+00
1.48E-10	0.00E+00	0.00E+00
1.51E-10	0.00E+00	0.00E+00
